,EMA6,EMA18,VAR_SHORT,VAR_LONG,IS_UPTREND,MY_ATR,STOP_LOSS_LINE,止盈红线,DIF,DEA,MACD_BAR,底背离,顶背离,Z_VAL,IS_PEAK,IS_TROUGH,共振机会,IS_VOL_UP,IS_GOLD_CROSS,放量启动,二浪回踩,离场警报
2024-01-14,106.33495547310564,105.06952547950421,106.33495547310564,105.06952547950421,True,3.755240846183487,96.94685335764692,96.94685335764692,1.5302817528470882,1.4551913655039872,0.15018077468620206,False,False,326.88366670192534,False,False,False,False,False,False,False,False
2024-01-15,104.61366983221833,104.56857076903009,104.61366983221833,104.56857076903009,True,3.7452078886507283,95.25065011059152,95.25065011059152,0.9772037360646095,1.3595938396161118,-0.7647802071030045,False,False,300.9313671900003,True,False,False,False,False,False,False,False
2024-01-16,103.06287292916114,104.00197181139725,103.06287292916114,104.00197181139725,False,3.869157605473395,93.38997891547766,,0.4430345873553847,1.1762819891639664,-1.4664948036171634,False,False,297.55764201455446,False,False,False,False,False,False,False,False
2024-01-17,101.37640021535776,103.28178724502378,101.37640021535776,103.28178724502378,False,3.9562938147405853,91.4856656785063,,-0.14211412199841789,0.9126027669314896,-2.109433777859815,False,False,291.4806552925479,False,False,False,False,False,False,False,False
2024-01-18,100.3513467526955,102.70356891355179,100.3513467526955,102.70356891355179,False,3.981229264725631,90.39827359088143,,-0.5488081047874829,0.6203205925876951,-2.338257394750356,False,False,291.4806552925479,False,False,False,True,False,False,False,False
2024-01-19,99.1002948076389,101.99505270633554,99.1002948076389,101.99505270633554,False,4.073547122381237,88.9164270016858,,-1.0060587061465611,0.29504473284084387,-2.60220687797481,False,False,287.91799483499227,True,False,False,True,False,False,False,False
2024-01-20,97.39965558897832,101.06379005749253,97.39965558897832,101.06379005749253,False,4.234023595754515,86.81459659959204,,-1.578163229861488,-0.0795968596996225,-2.997132740323731,False,False,279.4441726269805,False,False,False,False,False,False,False,False
2024-01-21,97.02242687217593,100.53911269145857,97.02242687217593,100.53911269145857,False,4.301259145718669,86.26927900787925,,-1.7745728026322922,-0.4185920482861565,-2.7119615086922715,False,False,279.4441726269805,False,False,False,True,False,False,False,False
2024-01-22,96.6239627598962,100.02213266911524,96.6239627598962,100.02213266911524,False,4.174834325919766,86.18687694509678,,-1.9442531847653015,-0.7237242755819855,-2.441057818366632,False,False,279.4441726269805,False,False,False,True,False,False,False,False
2024-01-23,96.37793308237521,99.57378806063707,96.37793308237521,99.57378806063707,False,4.172033535631541,85.94784924329636,,-2.0442631929846584,-0.9878320590625201,-2.1128622678442763,False,False,279.4441726269805,False,False,False,False,False,False,False,False
2024-01-24,95.38805577773823,98.87269063490115,95.38805577773823,98.87269063490115,False,4.157733253671608,84.99372264355921,,-2.326632417817521,-1.2555921308135205,-2.142080574008001,False,False,278.74008754843743,True,False,False,False,False,False,False,False
2024-01-25,94.36992471755458,98.13078604881633,94.36992471755458,98.13078604881633,False,3.997498393993394,84.37617873257109,,-2.6082006221798366,-1.5261138290867837,-2.164173586186106,False,False,275.47379120128636,False,False,False,True,False,False,False,False
2024-01-26,93.7060725829719,97.49032880646884,93.7060725829719,97.49032880646884,False,3.897735848547771,83.96173296160248,,-2.7813823563313207,-1.7771675345356912,-2.008429643591259,False,False,275.47379120128636,False,False,False,False,False,False,False,False
2024-01-27,92.57418187117152,96.67497367859534,92.57418187117152,96.67497367859534,False,3.9601724763326596,82.67375068033986,,-3.069003689100498,-2.0355347654486526,-2.0669378473036906,False,False,269.2333652750117,True,False,False,False,False,False,False,False
2024-01-28,91.98037308751164,96.02453972593919,91.98037308751164,96.02453972593919,False,3.919880451041884,82.18067195990693,,-3.1994332125414218,-2.2683144548672067,-1.86223751534843,False,False,269.2333652750117,False,False,False,True,False,False,False,False
2024-01-29,91.21300184780097,95.31612225463236,91.21300184780097,95.31612225463236,False,3.878112977862816,81.51771940314393,,-3.360989203229579,-2.486849404539681,-1.7482795973797955,False,False,267.88372124557293,True,False,False,False,False,False,False,False
2024-01-30,90.49819739098291,94.6208658329803,90.49819739098291,94.6208658329803,False,3.775730676498729,81.05887069973609,,-3.495800572502361,-2.688639638132217,-1.614321868740288,False,False,266.13355874681326,False,False,False,False,False,False,False,False
2024-01-31,89.64379042912464,93.8721192215591,89.64379042912464,93.8721192215591,False,3.757032120708407,80.25121012735362,,-3.6575826082426772,-2.882428232154309,-1.5503087521767362,False,False,262.5233190734369,False,False,False,True,False,False,False,False
2024-02-01,90.09194441894526,93.59214134492098,90.09194441894526,93.59214134492098,False,3.8422801445641945,80.48624405753478,,-3.44713289617178,-2.9953691649578036,-0.9035274624279532,False,False,262.5233190734369,False,False,False,False,False,False,False,False
2024-02-02,90.40434171182403,93.33879330272097,90.40434171182403,93.33879330272097,False,3.6718467942557718,81.2247247261846,,-3.2451204807334477,-3.0453194281129323,-0.3996021052410308,False,False,262.5233190734369,False,False,False,True,False,False,False,False
2024-02-03,90.0230763901912,92.88943749044604,90.0230763901912,92.88943749044604,False,3.5494735832507973,81.14939243206422,,-3.218618816497127,-3.0799793057897715,-0.27727902141471095,False,False,262.5233190734369,False,False,False,True,False,False,False,False
2024-02-04,90.2207696816553,92.660549639906,90.2207696816553,92.660549639906,False,3.3528231068367984,81.8387119145633,,-3.0299437509451224,-3.069972194820842,0.08005688775143938,False,False,262.5233190734369,False,False,False,True,False,False,False,False
2024-02-05,89.66435423271764,92.19873553153415,89.66435423271764,92.19873553153415,False,3.5566969984242007,80.77261173665714,,-3.0423706066938223,-3.0644518771954385,0.04416254100323247,False,False,262.5233190734369,False,False,False,False,False,False,False,False
2024-02-06,89.3862652520506,91.82950471772877,89.3862652520506,91.82950471772877,False,3.5613607689296853,80.4828633297264,,-2.984112890408497,-3.0483840798380504,0.12854237885910713,False,False,262.5233190734369,False,False,False,True,False,False,False,False
2024-02-07,88.0678187665,91.08657817403348,88.0678187665,91.08657817403348,False,3.720398634060053,78.76682218134987,,-3.2171163188904615,-3.0821305276485327,-0.26997158248385755,False,False,254.31510765787039,True,False,False,True,False,False,False,False
2024-02-08,86.3671078203076,90.14223630885381,86.3671078203076,90.14223630885381,False,3.739642630421913,77.01800124425282,,-3.5749108952303175,-3.18068660116489,-0.7884485881308549,False,False,246.3459913644798,False,False,False,False,False,False,False,False
2024-02-09,85.26480642209538,89.33874332124445,85.26480642209538,89.33874332124445,False,3.7579915418825314,75.86982756738905,,-3.7830864955262484,-3.301166580037162,-0.9638398309781726,False,False,246.3459913644798,False,False,False,True,False,False,False,False
2024-02-10,84.89942918336975,88.77529519127721,84.89942918336975,88.77529519127721,False,3.7115861900707765,75.6204637081928,,-3.7852569103967113,-3.397984646109072,-0.7745445285752783,False,False,246.3459913644798,False,False,False,False,False,False,False,False
2024-02-11,84.73637017353143,88.3072349236623,84.73637017353143,88.3072349236623,False,3.576383006842922,75.79541265642412,,-3.7164797386051305,-3.461683664608284,-0.5095921479936933,False,False,246.3459913644798,False,False,False,False,False,False,False,False
2024-02-12,84.55381471942505,87.86409715108303,84.55381471942505,87.86409715108303,False,3.6639569525952393,75.39392233793694,,-3.6386924526126307,-3.497085422209153,-0.2832140608069551,False,False,246.3459913644798,False,False,False,False,False,False,False,False
2024-02-13,84.25135871186949,87.40421520812487,84.25135871186949,87.40421520812487,False,3.731316270889192,74.9230680346465,,-3.584320753167077,-3.514532488400738,-0.13957652953267807,False,False,246.3459913644798,False,False,False,True,False,False,False,False
2024-02-14,83.19044899769126,86.68147410329549,83.19044899769126,86.68147410329549,False,3.834361718943577,73.60454470033233,,-3.736764431515738,-3.5589788770237383,-0.355571108983999,False,False,241.6145241367371,True,False,False,True,False,False,False,False
2024-02-15,82.02131679705269,85.88326486036505,82.02131679705269,85.88326486036505,False,3.644559107518749,72.90991902825581,,-3.9284630910311904,-3.632875719825229,-0.5911747424119227,False,False,237.29545888636886,False,False,False,True,False,False,False,False
2024-02-16,80.92300021319097,85.07210105964627,80.92300021319097,85.07210105964627,False,3.7979060770341397,71.42823502060563,,-4.1073777638983415,-3.7277761286398516,-0.7592032705169798,False,False,234.5316262606101,False,False,False,False,False,False,False,False
2024-02-17,80.74255821112914,84.5688749697861,80.74255821112914,84.5688749697861,False,3.7696231967724563,71.318500219198,,-4.032087676475598,-3.788638438207001,-0.48689847653719376,False,False,234.5316262606101,False,False,False,True,False,False,False,False
2024-02-18,80.81002437512409,84.19096073982034,80.81002437512409,84.19096073982034,False,3.9134162019179013,71.02648387032933,,-3.872327707920064,-3.805376292149614,-0.1339028315409001,False,False,234.5316262606101,False,False,False,False,False,False,False,False
2024-02-19,79.8507629749132,83.48166060661673,79.8507629749132,83.48166060661673,False,3.9980765575610056,69.85557158101068,,-3.984313310529359,-3.8411636958255633,-0.2862992294075912,False,False,232.35782842315794,True,False,False,True,False,False,False,False
2024-02-20,79.35076710013102,82.9152518494124,79.35076710013102,82.9152518494124,False,4.043778533325466,69.24132076681735,,-3.974940333860772,-3.8679190234326053,-0.21404262085633352,False,False,232.35782842315794,False,False,False,True,False,False,False,False
2024-02-21,78.77358017219157,82.32739511287878,78.77358017219157,82.32739511287878,False,3.740732642730206,69.42174856536606,,-3.9837359970630786,-3.8910824181587,-0.18530715780875706,False,False,231.9918385570288,True,False,False,True,False,False,False,False
2024-02-22,77.97449122348856,81.65890813802112,77.97449122348856,81.65890813802112,False,3.7525886542515914,68.59301958785957,,-4.053227436976229,-3.923511421922206,-0.25943203010804616,False,False,227.93030655519306,False,False,False,True,False,False,False,False
2024-02-23,77.75324271089548,81.18956216869393,77.75324271089548,81.18956216869393,False,3.8384398167849105,68.1571431689332,,-3.9638922918284294,-3.931587595903451,-0.06460939184995684,False,False,227.93030655519306,False,False,False,True,False,False,False,False
2024-02-24,78.18435064332668,80.98667356929505,78.18435064332668,80.98667356929505,False,3.7223717722259813,68.87842121276172,,-3.684237854954546,-3.8821176477136703,0.39575958551824897,False,False,227.93030655519306,False,False,False,True,False,False,False,False
2024-02-25,79.02444494884394,81.00120063701526,79.02444494884394,81.00120063701526,False,3.8196866797626825,69.47522824943724,,-3.27456945543706,-3.7606080092583483,0.9720771076425763,False,False,243.37404213791118,False,True,False,False,False,False,False,False
2024-02-26,79.14495943951475,80.83752116640227,79.14495943951475,80.83752116640227,False,3.799041288645744,69.6473562179004,,-3.0501794087459047,-3.6185222891558597,1.1366857608199101,False,False,243.37404213791118,False,False,False,False,False,False,False,False
2024-02-27,79.05434843236463,80.62597377146407,79.05434843236463,80.62597377146407,False,3.7900646711927357,69.57918675438279,,-2.8889483904342796,-3.472607509411544,1.1673182379545288,False,False,243.37404213791118,False,False,False,True,False,False,False,False
2024-02-28,79.17891967377373,80.50643419313064,79.17891967377373,80.50643419313064,False,3.6441721222023924,70.06848936826775,,-2.6768541575111158,-3.3134568390314585,1.2732053630406854,False,False,243.37404213791118,False,False,False,True,False,False,False,False
2024-02-29,79.82535349027873,80.60485564980544,79.82535349027873,80.60485564980544,False,3.62505853835204,70.76270714439863,,-2.3245354743123414,-3.1156725660876354,1.582274183550588,False,False,244.32431409462362,False,True,False,False,False,False,False,False
2024-03-01,80.01327808044212,80.59203816623125,80.01327808044212,80.59203816623125,False,3.380926429373468,71.56096200700846,,-2.0984613362565625,-2.912230320121421,1.627537967729717,False,False,244.32431409462362,False,False,False,False,False,False,False,False
2024-03-02,80.04141908675093,80.54148379110406,80.04141908675093,80.54148379110406,False,3.3473008114283394,71.67316705818008,,-1.9270444399112847,-2.715193144079394,1.5762974083362185,False,False,244.32431409462362,False,False,False,True,False,False,False,False
2024-03-03,79.42932839182522,80.26333830304162,79.42932839182522,80.26333830304162,False,3.3653697582487427,71.01590399620336,,-1.9472921159504466,-2.5616129384536044,1.2286416450063156,False,False,244.32431409462362,False,False,False,True,False,False,False,False
2024-03-04,78.30857411026076,79.76263831391614,78.30857411026076,79.76263831391614,False,3.191050247774553,70.33094849082438,,-2.1318120971341727,-2.475652770189718,0.6876813461110904,False,False,226.52006521904877,True,False,False,False,False,False,False,False
2024-03-05,77.97233580765426,79.48570165467633,77.97233580765426,79.48570165467633,False,3.115973529155341,70.1824019847659,,-2.122451129564112,-2.405012442064597,0.5651226250009698,False,False,226.52006521904877,False,False,False,False,False,False,False,False
2024-03-06,78.50715989354723,79.52344043926615,78.50715989354723,79.52344043926615,False,3.2571134398405124,70.36437629394595,,-1.8745493854045918,-2.298919830732596,0.8487408906560088,False,False,239.53266032483893,False,True,False,True,False,False,False,False
2024-03-07,78.84802845685344,79.54204669461909,78.84802845685344,79.54204669461909,False,3.2990432957798714,70.60042021740377,,-1.6704507803419517,-2.1732260206544676,1.0055504806250317,False,False,239.53266032483893,False,False,False,True,False,False,False,False
2024-03-08,79.66495337229618,79.7699644805437,79.66495337229618,79.7699644805437,False,3.359259434195379,71.26680478680774,,-1.33140017693583,-2.00486085191074,1.3469213499498203,False,False,245.12179698270904,False,True,False,False,False,False,False,False
2024-03-09,80.45512032621107,80.05002482059156,80.45512032621107,80.05002482059156,True,3.48026706077502,71.75445267427352,71.75445267427352,-0.9928926725281713,-1.8024672160342263,1.6191490870121101,False,False,247.29161313299488,False,False,False,False,True,False,False,False
2024-03-10,80.65088543351878,80.16479043966487,80.65088543351878,80.16479043966487,True,3.391206821933539,72.17286837868494,72.17286837868494,-0.8192903131426021,-1.6058318354559016,1.5730830446265989,False,False,247.29161313299488,False,False,False,True,False,False,False,False
2024-03-11,80.99722942760052,80.34355875262698,80.99722942760052,80.34355875262698,True,3.3055229286820156,72.73342210589547,72.73342210589547,-0.6162818687207476,-1.4079218421088708,1.5832799467762464,False,False,247.29161313299488,False,False,False,False,False,False,False,False
2024-03-12,82.12349603278231,80.82730652032275,82.12349603278231,80.82730652032275,True,3.3080198350388708,73.85344644518514,73.85344644518514,-0.20482176213103287,-1.1673018261133032,1.9249601279645407,False,False,254.81748763721043,False,True,False,True,False,False,False,False
2024-03-13,82.9075001569922,81.25259114634319,82.9075001569922,81.25259114634319,True,3.283606693300392,74.69848342374122,74.69848342374122,0.1141655830841728,-0.9110083442738081,2.0503478547159615,False,False,254.81748763721043,False,False,False,True,False,False,False,False
2024-03-14,84.36158519189297,81.96250763400653,84.36158519189297,81.96250763400653,True,3.508485461176334,75.59037153895214,75.59037153895214,0.6124131680626022,-0.6063240418065261,2.4374744197382565,False,False,263.99039333743474,False,True,False,False,False,False,False,False
2024-03-15,83.90322015734225,82.04617078526536,83.90322015734225,82.04617078526536,True,3.963336531450601,73.99487882871574,73.99487882871574,0.5778339867742659,-0.36949243609036775,1.8946528457292673,False,False,248.27192271289627,True,False,False,True,False,False,True,False
2024-03-16,84.04547513516329,82.29405939520753,84.04547513516329,82.29405939520753,True,3.974154785245591,74.1100881720493,74.1100881720493,0.6752867772119373,-0.16053659342990673,1.6716467412836882,False,False,248.27192271289627,False,False,False,False,False,False,True,False
2024-03-17,84.19682701545727,82.5341801658375,84.19682701545727,82.5341801658375,True,3.7373162009622143,74.85353651305174,74.85353651305174,0.7578309540861454,0.023136916073303718,1.4693880760256834,False,False,248.27192271289627,False,False,False,True,False,False,False,False
2024-03-18,84.13407415825819,82.68607614998729,84.13407415825819,82.68607614998729,True,3.7006297405159847,74.88249980696823,74.88249980696823,0.7661611911174191,0.17174177108212682,1.1888388400705845,False,False,248.27192271289627,False,False,False,True,False,False,True,False
2024-03-19,84.14168541827912,82.84130114139194,84.14168541827912,82.84130114139194,True,3.683387048938146,74.93321779593376,74.93321779593376,0.7785964444083504,0.2931127057473715,0.9709674773219578,False,False,248.27192271289627,False,False,False,False,False,False,False,False
2024-03-20,83.01136836709357,82.56175109904854,83.01136836709357,82.56175109904854,True,3.756781749081602,73.61941399438956,73.61941399438956,0.4623612582537078,0.3269624162486388,0.27079768401013793,False,False,240.55672721738907,True,False,False,False,False,False,True,False
2024-03-21,82.07847225176818,82.26538066372287,82.07847225176818,82.26538066372287,False,3.6478723158180384,72.95879146222308,,0.17428220712994857,0.2964263744249008,-0.2442883345899044,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-22,81.61618221025675,82.07538871032868,81.61618221025675,82.07538871032868,False,3.511551898708024,72.8373024634867,,0.003568349913720681,0.23785476952266477,-0.46857283921788817,False,False,239.23869589036403,False,False,False,True,False,False,False,False
2024-03-23,82.13048592045801,82.21653149829,82.13048592045801,82.21653149829,False,3.538819124975057,73.28343810802038,,0.10556687518838714,0.21139719065580925,-0.21166063093484422,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-24,82.20169130301683,82.23370763103988,82.20169130301683,82.23370763103988,False,3.6337345998341206,73.11735480343152,,0.10159022198740786,0.18943579692212897,-0.17569114986944223,False,False,239.23869589036403,False,False,False,True,False,False,False,False
2024-03-25,81.79055594604846,82.07886657025963,81.79055594604846,82.07886657025963,False,3.7762768766983723,72.34986375430253,,-0.03167354519275989,0.1452139284991512,-0.3537749473838222,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-26,81.21016952330847,81.83469150670162,81.21016952330847,81.83469150670162,False,3.759344282236449,71.81180881771735,,-0.2157739333252522,0.07301635613427054,-0.5775805789190455,False,False,239.23869589036403,False,False,False,True,False,False,False,False
2024-03-27,81.31869471718107,81.80893531671856,81.31869471718107,81.80893531671856,False,3.809359412434148,71.7952961860957,,-0.2115061054387013,0.016111863819676178,-0.4552359385167549,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-28,81.58407048975276,81.85510106455682,81.58407048975276,81.85510106455682,False,3.600218452253018,72.58352435912022,,-0.15330172016378185,-0.01777085297701543,-0.27106173437353287,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-29,81.47090449657995,81.78487879604009,81.47090449657995,81.78487879604009,False,3.243107424810692,73.36313593455321,,-0.19047311212872842,-0.05231130480735803,-0.2763236146427408,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-30,81.68336732037842,81.83010464697004,81.68336732037842,81.83010464697004,False,3.2873258322729595,73.46505273969602,,-0.13553654257744085,-0.0689563523613746,-0.13316038043213252,False,False,239.23869589036403,False,False,False,False,False,False,False,False
2024-03-31,81.89059936557621,81.89100726082275,81.89059936557621,81.89100726082275,False,3.413554617809939,73.35671282105136,,-0.07546233870164087,-0.07025754962942786,-0.01040957814442603,False,False,239.23869589036403,False,False,False,True,False,False,False,False
2024-04-01,82.59213367816486,82.14942433438209,82.59213367816486,82.14942433438209,True,3.477078821521274,73.89943662436167,73.89943662436167,0.1270059658296674,-0.030804846537608812,0.3156216247345524,False,False,253.03790837890938,False,True,False,False,True,False,False,False
2024-04-02,82.69205641922683,82.23283895938205,82.69205641922683,82.23283895938205,True,3.547361320240069,73.82365311862665,73.82365311862665,0.17217914709937077,0.009791952189787106,0.32477438981916734,False,False,253.03790837890938,False,False,False,True,False,False,False,False
2024-04-03,82.57619429335809,82.23849159299301,82.57619429335809,82.23849159299301,True,3.344169500027792,74.21577054328861,74.21577054328861,0.15333250337086213,0.03850006242600211,0.22966488188972004,False,False,253.03790837890938,False,False,False,True,False,False,False,False
2024-04-04,82.26937383023346,82.16100012766974,82.26937383023346,82.16100012766974,True,3.393961451086227,73.7844702025179,73.7844702025179,0.07426066971210332,0.045652183883222355,0.057216971657761934,False,False,253.03790837890938,False,False,False,True,False,False,False,False
2024-04-05,81.21392210049753,81.7835572485632,81.21392210049753,81.7835572485632,False,3.5618764446755113,72.30923098880875,,-0.22203173493292638,-0.007884599880007392,-0.428294270105838,False,False,235.72587832847302,True,False,False,True,False,False,False,False
2024-04-06,80.62923959472305,81.50818630979727,80.62923959472305,81.50818630979727,False,3.5383351556612763,71.78340170556986,,-0.40439512189028903,-0.08718670428206372,-0.6344168352164506,False,False,235.72587832847302,False,False,False,False,False,False,False,False
2024-04-07,80.36078367470121,81.31676079030773,80.36078367470121,81.31676079030773,False,3.47333299367001,71.67745119052618,,-0.5010140839519437,-0.16995218021603972,-0.6621238074718079,False,False,235.72587832847302,False,False,False,False,False,False,False,False
2024-04-08,80.17195142133843,81.14656184268918,80.17195142133843,81.14656184268918,False,3.4226516956154023,71.61532218229993,,-0.5701873165991458,-0.24999920749266094,-0.6403762182129697,False,False,235.72587832847302,False,False,False,False,False,False,False,False
2024-04-09,79.90302144986495,80.94489180884624,79.90302144986495,80.94489180884624,False,3.390163991404338,71.42761147135411,,-0.6553120151193497,-0.33106176901799866,-0.648500492202702,False,False,235.72587832847302,False,False,False,True,False,False,False,False
